link,address,dealer,price,beds,baths,area
https://www.zillow.com/homedetails/8620-W-32nd-Pl-Wheat-Ridge-CO-80033/2092146717_zpid/,"8620 W 32nd Place, Wheat Ridge, CO 80033","MLS ID #9857000, THE GOLD STANDARD BROKERAGE","$500,000",4,2,"2,338"
https://www.zillow.com/homedetails/6109-S-Kirk-St-Centennial-CO-80016/13121716_zpid/,"6109 S Kirk Street, Centennial, CO 80016","MLS ID #6171833, MB LIBERTY ASSOCIATES LLC","$675,500",4,2,"2,338"
https://www.zillow.com/homedetails/7-E-Fountain-Blvd-Colorado-Springs-CO-80903/13617979_zpid/,"7 E Fountain Blvd, Colorado Springs, CO 80903",COMPASS COLORADO - HIGHLANDS,"$329,900",4,2,"2,338"
https://www.zillow.com/homedetails/3035-Sherrelwood-Dr-S-Canon-City-CO-81212/218708366_zpid/,"3035 Sherrelwood Dr S, Canon City, CO 81212",RE/MAX ROYAL GORGE,"$344,958",4,2,"2,338"
https://www.zillow.com/homedetails/421-N-Gilbert-St-Castle-Rock-CO-80104/13490637_zpid/,"421 N Gilbert Street, Castle Rock, CO 80104","MLS ID #2774219, SHEPHERD AND ASSOCIATES REALTY","$799,900",4,2,"2,338"
https://www.zillow.com/homedetails/18890-Powers-Rd-Colorado-Springs-CO-80928/13531105_zpid/,"18890 Powers Rd, Colorado Springs, CO 80928",KELLER WILLIAMS PARTNERS,"$350,000",4,2,"2,338"
https://www.zillow.com/homedetails/7220-Fort-Morgan-Dr-Fort-Collins-CO-80525/54691165_zpid/,"7220 Fort Morgan Dr, Fort Collins, CO 80525","KITTLE REAL ESTATE, Rob Kittle","$825,000",4,2,"2,338"
https://www.zillow.com/homedetails/17667-Ponderosa-Ave-Parker-CO-80134/13463908_zpid/,"17667 Ponderosa Avenue, Parker, CO 80134","MLS ID #5788120, HOMESMART","$480,000",4,2,"2,338"
https://www.zillow.com/homedetails/8065-Mount-Hayden-Dr-Colorado-Springs-CO-80924/82241552_zpid/,"8065 Mount Hayden Dr, Colorado Springs, CO 80924",SPRINGS HOME FINDERS,"$585,000",4,4,"2,769"
https://www.zillow.com/homedetails/51-Rocky-Rdg-3-Pagosa-Springs-CO-81147/235410597_zpid/,"51 Rocky Rdg #3, Pagosa Springs, CO 81147",,"$134,900",4,4,"2,769"
https://www.zillow.com/homedetails/6233-W-78th-Ave-Arvada-CO-80003/13704408_zpid/,"6233 W 78th Ave, Arvada, CO 80003","PRESTIGIO REAL ESTATE, Luke Angerhofer","$550,000",4,4,"2,769"
https://www.zillow.com/homedetails/5180-County-Road-142-Elizabeth-CO-80107/13527291_zpid/,"5180 County Road 142, Elizabeth, CO 80107",HOMES FOR COLORADO LLC,"$674,900",4,4,"2,769"
https://www.zillow.com/homedetails/6251-Saddlesmith-St-Castle-Pines-CO-80108/300015539_zpid/,"6251 Saddlesmith Street, Castle Pines, CO 80108","MLS ID #3244481, LIV SOTHEBY'S INTERNATIONAL REALTY","$899,900",4,4,"2,769"
https://www.zillow.com/homedetails/10199-Road-C-Dove-Creek-CO-81324/2075225514_zpid/,"10199 Road C, Dove Creek, CO 81324",,"$299,900",4,4,"2,769"
https://www.zillow.com/homedetails/1500-W-Thornton-Pkwy-LOT-52-Thornton-CO-80260/58639125_zpid/,"1500 W Thornton Parkway  Lot 52, Thornton, CO 80260","MLS ID #4745588, KELLER WILLIAMS REALTY NORTHERN COLORADO","$50,000",4,4,"2,769"
https://www.zillow.com/homedetails/599-Ferris-Dr-Westcliffe-CO-81252/194789949_zpid/,"599 Ferris Dr, Westcliffe, CO 81252",RE/MAX OF PUEBLO INC. Listing provided by PAR,"$230,000",4,4,"2,769"
https://www.zillow.com/homedetails/963-Osage-Ave-Manitou-Springs-CO-80829/13662889_zpid/,"963 Osage Ave, Manitou Springs, CO 80829",RE/MAX PROPERTIES INC,"$649,000",3,3,"2,418"
https://www.zillow.com/homedetails/1209-Coyote-Ln-Wiggins-CO-80654/338187494_zpid/,"1209 Coyote Lane, Wiggins, CO 80654","MLS ID #8520193, EXP REALTY, LLC","$389,547",3,3,"2,418"
https://www.zillow.com/homedetails/0-Alamosa-Ave-Blanca-CO-81123/2103735259_zpid/,"0 Alamosa Ave, Blanca, CO 81123","MLS ID #3072977, COLORADO REALTY & LAND CO.","$90,000",3,3,"2,418"
https://www.zillow.com/homedetails/2339-Lowell-Blvd-Denver-CO-80211/61433361_zpid/,"2339 Lowell Blvd, Denver, CO 80211","RE/MAX ALLIANCE-BOULDER, James Thomas","$625,000",3,3,"2,418"
https://www.zillow.com/homedetails/4812-County-Road-88-Guffey-CO-80820/87815631_zpid/,"4812 County Road 88, Guffey, CO 80820",KELLER WILLIAMS PREMIER REALTY,"$1,100,000",3,3,"2,418"
https://www.zillow.com/homedetails/452-Alpine-Dr-Estes-Park-CO-80517/13852584_zpid/,"452 Alpine Dr, Estes Park, CO 80517","WK REAL ESTATE, Dennis Culver","$675,000",3,3,"2,418"
https://www.zillow.com/homedetails/115-S-15th-St-Colorado-Springs-CO-80904/13667596_zpid/,"115 S 15th St, Colorado Springs, CO 80904",LIV SOTHEBY'S INTERNATIONAL REALTY CO SPRINGS,"$320,000",3,3,"2,418"
https://www.zillow.com/homedetails/3425-Vaughn-View-Dr-Pueblo-CO-81005/2102426131_zpid/,"3425 Vaughn View Dr, Pueblo, CO 81005",COMING HOME REALTY,"$579,000",3,3,"2,418"
https://www.zillow.com/homedetails/7060-E-60th-Ave-Commerce-City-CO-80022/13017497_zpid/,"7060 E 60th Avenue, Commerce City, CO 80022","MLS ID #1793875, RE/MAX ALLIANCE",$175K,2,1,756
https://www.zillow.com/homedetails/905-921-County-Road-317-Crested-Butte-CO-81224/442292698_zpid/,"905 & 921 County Road 317, Crested Butte, CO 81224",,"$16,600,000",2,1,756
https://www.zillow.com/homedetails/713-Aspen-Rd-Golden-CO-80401/13751982_zpid/,"713 Aspen Rd, Golden, CO 80401","RE/MAX OF BOULDER, INC, Michael Bader","$850,000",2,1,756
https://www.zillow.com/homedetails/131-Paiute-Rd-Evergreen-CO-80439/13269492_zpid/,"131 Paiute Road, Evergreen, CO 80439","MLS ID #8726558, ALARIS PROPERTIES LLC","$460,000",2,1,756
https://www.zillow.com/homedetails/2166-Falling-Leaf-Dr-Windsor-CO-80550/339802809_zpid/,"2166 Falling Leaf Drive, Windsor, CO 80550","MLS ID #8204883, REAL BROKER, LLC DBA REAL","$575,000",2,1,756
https://www.zillow.com/homedetails/2320-Ski-Trail-Ln-SUITE-101-Steamboat-Springs-CO-80487/76269933_zpid/,"2320 Ski Trail Ln SUITE 101, Steamboat Springs, CO 80487",EXP REALTY LLC,"$1,365,000",2,1,756
https://www.zillow.com/homedetails/10388-Elevated-Ln-Colorado-Springs-CO-80924/402790789_zpid/,"10388 Elevated Ln, Colorado Springs, CO 80924","RE/MAX ADVANTAGE REALTY, INC.","$870,000",2,1,756
https://www.zillow.com/homedetails/LOT-2-E-Arvada-Rd-Blanca-CO-81123/440956796_zpid/,"Lot 2 E Arvada Road, Blanca, CO 81123","MLS ID #2091520, EXP REALTY, LLC","$4,990",2,1,756
https://www.zillow.com/homedetails/121-N-Sunset-St-Fort-Collins-CO-80521/13901062_zpid/,"121 N Sunset St, Fort Collins, CO 80521","GROUP HARMONY, Kathy Beck","$740,000",2,2,"1,607"
https://www.zillow.com/homedetails/3788-Longs-Peak-Cir-Parker-CO-80138/13523703_zpid/,"3788 Longs Peak Circle, Parker, CO 80138","MLS ID #5412700, EXP REALTY, LLC","$699,000",2,2,"1,607"
https://www.zillow.com/homedetails/7335-Hunter-Jumper-Dr-Colorado-Springs-CO-80922/338032709_zpid/,"7335 Hunter Jumper Dr, Colorado Springs, CO 80922","GALVAN AND GARDNER REAL ESTATE GROUP, INC.","$482,900",2,2,"1,607"
https://www.zillow.com/homedetails/2926-Baltimore-Ave-Pueblo-CO-81008/14012556_zpid/,"2926 Baltimore Ave, Pueblo, CO 81008",SORELLA REAL ESTATE. Listing provided by PAR,"$249,900",2,2,"1,607"
